trade_no,entry_date,exit_date,days_held,entry_price,exit_price,pnl_pct,pnl_usd,result,cumulative_pnl_usd,drawdown_from_peak_pct
1,2022-03-21,2022-04-11,15,26.46,22.17,-16.2,-1619.57,LOSS,-1619.57,0
2,2022-07-21,2022-08-24,24,17.86,16.98,-4.88,-488.12,LOSS,-2107.69,0
3,2022-10-27,2022-12-27,41,13.61,15.06,10.62,1062.26,WIN,-1045.43,0
4,2023-01-13,2023-07-10,120,16.26,42.62,162.12,16212.47,WIN,15167.04,0.0
5,2023-12-13,2024-04-18,86,47.6,84.92,78.41,7840.81,WIN,23007.85,0.0
6,2024-12-06,2024-12-11,3,144.55,137.32,-5.01,-500.69,LOSS,22507.16,5.01
7,2025-01-23,2025-01-28,3,145.0,121.77,-16.02,-1602.21,LOSS,20904.95,21.03
8,2025-05-02,2025-09-03,84,114.15,171.03,49.83,4982.65,WIN,25887.6,0.0
SUMMARY,,,47.0,,,258.87,25887.6,4W / 4L  WR=50.0%,25887.6,21.03
