trade_no,entry_date,exit_date,days_held,entry_price,exit_price,pnl_pct,pnl_usd,result,cumulative_pnl_usd,drawdown_from_peak_pct
1,2022-07-21,2022-08-24,24,17.86,16.98,-4.88,-488.12,LOSS,-488.12,0
2,2022-10-27,2022-12-27,41,13.61,15.06,10.62,1062.26,WIN,574.14,0.0
3,2023-01-13,2023-07-10,120,16.26,42.62,162.12,16212.47,WIN,16786.61,0.0
4,2024-12-06,2024-12-11,3,144.55,137.32,-5.01,-500.69,LOSS,16285.92,5.01
5,2025-05-02,2025-09-03,84,114.15,171.03,49.83,4982.65,WIN,21268.57,0.0
SUMMARY,,,54.4,,,212.68,21268.57,3W / 2L  WR=60.0%,21268.57,5.01
